business_id,Restaurant,Rating,City,Latitude,Longitude
iNbAht5CVY4KH_cympbHMA,Fired Pie,4.0,Tempe,33.4221752,-111.945369
5Xzjb7ATQHCozQGedQTiyA,Sacks Sandwiches,3.5,Tempe,33.4197977,-111.9390302
QYIhMNwxXejDoCr-F1BxDg,Thai Basil,4.0,Tempe,33.4215393,-111.9447821
W2CzAePJakvARgoQuohbOA,In-N-Out Burger,4.5,Tempe,33.434903,-111.9254848
Dz5NDfPpXcID1qJbEfre4g,Press Coffee,4.5,Tempe,33.4299443,-111.9478141
ef9bmkR23POPI4uSEC5k5A,5 R Cha Thai Diner,4.0,Tempe,33.422959,-111.936464
2fsJzlV09zPV12wT037pig,Dave's Electric Brewpub,3.0,Tempe,33.4251549,-111.93526
9mIm1ef-NVDQHFE39Faxxg,Vine Tavern & Eatery,3.5,Tempe,33.4145111263,-111.927192103
39irKvcTTf6sj8WimdRXxQ,Boston Vs. New York,3.5,Tempe,33.4256993034,-111.939835064
mKRKhFuJX4nhJykUvZO8hQ,La Fonda Mexican Foods,3.5,Tempe,33.441124,-111.927581
vBV5IbpTgUKuu2HlneE2NA,America's Taco Shop,3.5,Tempe,33.4217344,-111.9271489
qgAZPDQStZP_Y5XTiQ6UqA,Postino Annex,4.5,Tempe,33.4240289389,-111.934724179
SoCVWvr5f5lYJEY_62bgAw,Bacus Bros Hotdogs and Beer,5.0,Tempe,33.4259647,-111.9402513
UBQRhqRMW4Sk7kSZvZ1iAQ,Essence Bakery Café,4.0,Tempe,33.4216572978,-111.951169743
hl_Iatne0Aehb9whpdH3cw,Sal's Pizza,3.0,Tempe,33.4152726,-111.9249979
Rj3wnYT1QAxpJlRT5mMc-g,Harlow's Cafe,4.0,Tempe,33.4215877,-111.9531274
LnKoH4eWM1mznCDOLrEpWQ,Moreno's Mexican Grill,3.5,Tempe,33.4212808,-111.9258427
0xR-5RQ7FWDL09XsnUZI6g,The Corner Office,2.0,Tempe,33.4220789,-111.9445979
TWSKXlz2niDh9Pyuj90Dng,Engrained Cafe,4.0,Tempe,33.4174937,-111.934289
22so15K1aqikL9FHt37CSQ,DP Dough,3.5,Tempe,33.4211371127,-111.925079413
ndQTAJzhhkrl1i5ToEGSZw,Oregano's Pizza Bistro,4.0,Tempe,33.4216173426,-111.946675175
8XFDd4uX-g5B4JJzIahPHg,The Yard at Farmer Arts District,4.0,Tempe,33.4285842177,-111.9439831
_k3PJI3mSS3eIpV8FZ6Tqg,Gluttons,3.5,Tempe,33.4229734,-111.9364826
4cuvlrnhnLA9r2TOmwSvfw,Erbert And Gerbert's,3.5,Tempe,33.4253483119,-111.937643436
awPIH7K4WA5BKJfiQlZcow,Bison Witches Bar & Deli,3.5,Tempe,33.424014,-111.938422
RN0PTeMSF_eaeXN6VV7RwA,RA Sushi Bar Restaurant,3.0,Tempe,33.4260009878,-111.939826012
pAvGcgYhnU1RjnV-xy5SmQ,Einstein Bros Bagels,3.0,Tempe,33.422756,-111.925685
feFckrNF9-QzGrY4T9dAvQ,Copper Kettle-Salads Balti & Taandoori Grill,3.0,Tempe,33.4167677,-111.9222221
sEvsx89wie9oSU5AlvCBGg,Costa Vida,3.5,Tempe,33.4136306038,-111.926669468
