user_id,year,num_friends,votes,num_reviews,avg rating
EZmocAborM6z66rTzeZxzQ,12-09-2009,2313,48351,761,3.59
4FE8md9fMr_jZFNbcOmHsQ,13-12-2012,183,17230,623,3.56
XfZ9TO6ZWJLp0vbUCm6g4w,01-07-2011,283,913,466,4.16
v10dHdqf42tUkxbYVnFW6w,10-12-2007,796,2295,591,3.23
VVMqxCARIOdUzpqngpFMgA,12-09-2007,792,1249,418,3.44
UrOofvcBl0gAbKPAEaj83A,27-03-2011,271,957,338,3.91
p03AKnMXXbgetIEHHFP3wQ,29-03-2010,785,2003,359,3.54
BqE21d_vGACZFU2U8dCRSw,17-08-2010,1085,5948,214,3.8
AKXqbuifvfvNEpr3Qs51hQ,03-09-2006,219,2980,379,3.46
UXbCcmkYGl3DH_Py5UOtbQ,04-10-2007,267,171180,2058,4.11
xceJT1G2Yhel3W2lRxRTDA,14-03-2007,643,12557,1089,3.86
NJqmAzerpbAIC0-VBclwgA,06-01-2011,462,1276,331,3.89
JfPdGeYbaZa2aZqUb839Cg,12-01-2010,159,1131,478,3.64
5gbkhlWANGVzQYi_0m3vOQ,06-03-2008,1257,1919,2322,3.43
HkVnslspLbmATUzBs3ZdKQ,08-06-2011,1102,1298,372,4.5
PSI7wvuqEhhV9Jh_fP2eZQ,07-04-2011,697,11712,203,4.23
h9RUaaHa5kcQKqtJ-sgS0Q,29-07-2007,320,1443,371,3.15
pUQdU4MlkB46jIdYs9oMUA,16-09-2012,314,1888,237,4.1
1fPiKjZhkGWLya1QLkwlhQ,12-06-2011,569,1080,268,4.06
lsZlV02ZdqEzR-qILdT7Cw,27-07-2008,611,1744,240,3.96
jVYzrVblDFSuL3GHtt8ZSA,24-10-2008,2666,34436,1030,3.99
To0GTLW5MGZwOg5TxxZIQA,07-02-2008,1656,10464,1440,3.74
6GtDNtEc7g9RcWaBOxfqbQ,06-01-2010,504,1176,471,3.89
rHgT6lBbZ2PaHt0UWfTMtw,27-12-2009,283,789,582,3.76
6wCncsqMkevDrPGajCqo3w,20-10-2006,347,27535,363,3.81
loOoIBFpGbkx8WaIpQndiA,06-12-2010,190,1163,229,3.83
d31wiC8swpcod_WEbvT7ew,19-09-2006,248,7023,738,3.95
hy4uEHgITEfzxrXzyDhCRg,03-06-2009,501,7985,733,3.59
A3eAIFfkvfudRM9QeEaIJw,12-07-2010,4239,23238,693,4.18
jXIJnnyxXxizxNYEo2ze-A,31-01-2006,835,2347,785,4.06
DquHHYio5bIqZ5vQlC95_w,13-06-2010,359,2293,415,4.12
#NAME?,31-05-2009,807,6865,846,3.34
4YDE_B5VWhCa8sbkUmEkVg,18-02-2012,418,1578,155,3.96
4q1GOTm23q-qG3o5Kpz81Q,27-07-2010,532,1505,665,3.51
4SJS_m-JXc0oASx6x5Mjkw,21-02-2007,518,24220,2158,3.18
QJI9OSEn6ujRCtrX06vs1w,19-03-2007,5746,14171,1983,3.61
aZtX3NethA-CovPXH0tKyA,09-05-2008,888,7649,732,3.74
QKhJkTpDuwnR6TozGT1eqg,01-10-2008,236,1505,722,3.6
5uiCy0vSIknuDEHc7yHRkw,19-03-2008,239,1179,315,3.61
58IYRjxtf_E4XNUXysecdw,17-07-2008,441,1769,404,4.1
vgwdQ0fpDZdoTidJuwYq7w,19-09-2005,161,2362,1301,3.95
mdmFPUq98OtP8BQ4fCs8wA,11-05-2013,274,1093,389,4.25
Yelk8C_zGCHYPgd8K4BGPQ,12-07-2009,248,5324,264,3.67
9bvlW5Gos1kxzvcM3c-12w,07-07-2010,426,25813,548,3.83
QaN-nccbLZPWzownQYgTVQ,14-10-2010,486,1482,351,3.52
E19IMURE4WEoCnvDx-bylg,25-11-2007,326,1509,186,4.16
qewG3X2O4X6JKskxyyqFwQ,08-01-2010,3972,56942,907,3.95
e7oFhe6690ucxKwzkwS49w,26-09-2012,210,828,479,3.91
iJ97UrvPlGNttp44qsJ-4A,03-08-2013,162,1428,801,3.55
j8fbMLXV1XvnoznuwbG3Ow,21-11-2010,1323,2584,899,3.47
dDHiYfwOvzOkp53E1V_fTQ,14-12-2006,820,1027,254,3.57
zpwWpno3U-oZaG3AJuKqSQ,21-08-2012,1177,872,292,4.25
rNjgVKaBh1PlUA6dYB6EUw,15-09-2009,228,1127,572,3.64
WN3FQ5lNz5q8FFbeH42OxQ,09-10-2007,732,12123,832,3.89
pD4c0eVE0ImAgcag4w4-lA,28-02-2008,689,914,1418,3.83
DHRupjFv4GyD0tEdj-QNjQ,28-02-2009,826,11402,1318,3.72
8hvd4RrseJmlbjqpSY9e_w,25-07-2010,292,2737,155,3.84
OoyQYSeYNyRVOmdO3tsxYA,07-06-2011,418,4571,289,3.68
pJYRi9MB06aiuL-w8Ms-Og,25-12-2009,235,1735,400,3.65
u9w4LOoKYsM00Scb0HCH1w,11-05-2011,282,2142,153,3.85
VD8Ox-akHloK3-QV3FxY-g,11-09-2006,372,10774,1038,3.44
DOKrvb9i0A3a-CpOxLqo4g,24-11-2013,253,5009,607,3.67
dIIKEfOgo0KqUfGQvGikPg,10-08-2007,6093,55428,1730,4.05
fou9pya19z4NWWAGZslxXA,11-12-2005,612,912,441,3.82
_pBzBgtCTN9PNUPfgPDI8A,05-06-2008,1579,8987,1848,4.01
ltTLCzM4p-1cnC70SPNfSA,07-10-2008,562,2740,853,3.84
MFnXQb1R1IGLL_-W4oflJw,06-05-2009,305,1087,372,3.57
KDewJBJknfWvQyHHFNbfdg,07-11-2007,3893,4445,889,4.14
mjOKUSdIqxFPSYMB-MmS9g,13-09-2007,1411,4481,771,4.12
hGeXKYWkqJgFC1u_Sh6kCg,09-06-2008,442,969,1065,3.34
lf1m4CbheuUR7fFZoLGRvA,18-11-2007,2516,2601,1012,3.8
0J9mtVJ4_QGsXYVK8qJzOQ,22-09-2014,158,1432,279,3.65
DHUfDrzWi0rTSel-14RLoA,27-08-2008,635,744,812,3.57
Bv13-l4HTz-pt5kS22y9LQ,08-05-2008,321,822,399,3.9
PgrCdD3iPgYzXxO8QsMnew,14-02-2009,271,1553,1063,3.68
Nn-hLgYTKNkJQ-G7LSXG3g,02-01-2009,233,1498,389,3.83
pQdIIsbV5dGOVz_kWfMRTw,25-02-2008,360,5307,263,3.53
hWDybu_KvYLSdEFzGrniTw,08-03-2009,1480,45590,7125,3.53
0BBUmH7Krcax1RZgbH4fSA,18-03-2010,218,2154,1165,3.58
8DBH3BpLINfTAK_Up5BtUQ,16-11-2012,679,11552,447,3.85
J1yNYAjojpD_KpocG-W3KQ,14-10-2008,485,3702,324,4.02
U4INQZOPSUaj8hMjLlZ3KA,31-01-2008,2801,997,3632,3.87
kaqlSjOjI8YW7PcLdanK-w,25-07-2009,1309,2678,1031,3.71
YJsjA7msCI4-Dh8_pDcSYQ,03-10-2010,229,2838,235,3.78
renPzRDqMZpMaHiCD_e1_A,23-01-2013,604,5210,402,3.79
2HchhLgGj16aITZGVy0hqA,12-01-2008,601,888,2346,3.6
rnfgjemszUlQx6U_-PO63w,26-01-2009,256,1041,811,3.12
CXwHjHxwGDzRTgvU_NdLIQ,01-06-2010,572,3809,541,3.38
AvC5XQAElcGAAn_Wr5auEg,30-12-2009,3666,30850,1120,4.13
kxA0vTDi1KABuA5Tgg1HKA,03-01-2006,1123,1173,1879,3.6
PLOYtrCMUFPHQe2IbYAd5g,09-01-2011,456,22534,1965,3.6
_PogIvICTS-uaZLXLX-OnQ,13-12-2010,734,4453,543,4.37
0V4Ra6jCmSAgFtCiORr4QA,03-06-2005,4138,3938,800,4.06
swmrfBnaqU0nyJ3pFBfNgQ,06-05-2008,623,9961,1442,3.27
l0-VQ8nA_oijpKlRB7dkow,03-02-2009,1519,902,1194,4.13
Agbv8YDkOE7V_ZfJseLVOA,05-06-2006,1615,67429,403,4.13
aD263WOD4RShoqgvVhcKqQ,08-04-2010,1714,854,308,3.67
2k8XLUEwA9aLB6SIwZafew,19-03-2008,395,937,332,3.48
DwIetk5y9m6AypCjPux6RQ,28-11-2011,794,1061,216,4.24
TlMK-Ad_NLIHCX1XCwrqSw,09-09-2010,275,1256,301,4.71
iyhqoE49PTX2VNITzpDw6w,17-11-2008,184,795,584,3.4
-50XWnmQGqBgEI-9ANvLlg,20-02-2014,239,728,216,3.95
i8hCMZN-0bHENsHZKHpC-g,11-05-2009,154,6513,419,3.46
BxV2pTVmYCW15gSZAPMFKQ,01-04-2009,583,26858,192,3.34
mndtZTV0LhUxLhBDpFIVSA,15-09-2007,151,1661,310,3.9
To7EBxWC-Yz011V2-tdTvA,11-12-2005,948,6173,594,4.11
Nr2uHirba5WNcG0vOXoVDA,03-09-2009,201,1863,310,3.6
r3ov7FgibBx41_W74I1KiA,15-04-2010,3260,997,259,3.49
h4o8e_Xbca2kXQO_vzOqgg,26-08-2008,1635,8253,718,3.97
rcU7ysY41qGppbw4pQgjqg,30-06-2007,3375,25814,1551,3.84
YCOwZztY3w6KbmlETuHm4A,03-10-2010,442,3679,671,3.52
FArIEoSKbCcVqWc2eWNFXA,16-11-2010,532,6459,1052,3.7
rKkpHJkJ27xOwnhy_bMkvA,31-01-2011,326,2250,787,3.56
QDlW-vc4YW0gw5MWRN_5dg,14-02-2011,354,3055,280,3.85
qD51vvp5Zf5DgPEGy7yfDQ,03-03-2006,393,17851,1068,3.73
0Chi_CzoTmkw1NvZg0sksg,08-03-2008,306,2312,652,3.82
thi-jmMx-himXfCw_EuDSw,09-07-2010,692,2146,501,4.16
PV0VEhlmhc2BjzMZEbpWlg,24-09-2010,161,1530,377,3.85
WWWujmZ95y0a2RR5_kQ9sw,03-09-2009,1870,2101,1422,3.92
Ic6-gs1_FjrWGx6JIr95Mw,04-12-2012,1411,4344,709,3.73
xa2QB6ln4bxHaQDnJQe3Bw,14-09-2008,680,16902,256,3.56
xIx619k3xJq_UwpSrWsyWg,14-05-2010,1745,761,381,4.23
mvK1pv-x0Z5rP4Hz9cWBWw,17-07-2007,5685,61812,1577,3.87
UG4EKu13JRwzRix6ESINdg,05-06-2009,854,1495,1014,3.59
qCzx039NVrJkWnZEqQ1JKA,20-08-2011,471,2074,235,4.23
6mMk9hO_RAbdGMEGeg3oWQ,27-05-2006,178,933,1366,3.57
NjNJ1JLnMlOfnDI6Oz6Qew,22-06-2011,451,881,331,4.05
DDwuwjZHsTmN7-Fju7D1qw,24-06-2007,286,2252,922,3.77
YrlNGnrofZHseVYxrLrvJA,12-03-2011,511,1214,630,3.79
pMefTWo6gMdx8WhYSA2u3w,16-07-2012,282,1897,1017,3.39
oFNrutUnH52gaDi4ax0WXA,28-08-2008,248,895,163,3.83
IDVX4Is4CanREchBmpFXoA,22-10-2005,475,1651,1275,3.74
XCW5pJCDhvlW76XTSUEkIg,21-08-2008,507,229438,1616,3.58
PMT94wJvyAQdG9YGZerYAw,14-08-2007,176,2420,754,3.53
m-2OHy6aP26oefPIiiTocg,10-12-2010,188,1206,635,3.76
7GVA958q4zs5Z8cdHauU5Q,06-02-2011,322,32282,759,4.38
tduMSflg1bhAFDgWOr4MPg,03-07-2010,1631,6783,562,3.63
4FXbovgSEFZ5_9S5wddFIg,16-12-2010,771,1069,306,3.97
ePWsbOWDTJcgIus-BFuKpg,16-11-2008,151,1389,213,3.91
DYqujEDnSMgwL7sFTRSv8w,02-12-2015,1611,7621,315,3.32
rzcuN6-bBV2CSNalODR0oA,27-06-2011,243,1841,168,4.03
OHH18hww_n6etjhWmHrd7A,13-11-2007,291,20595,493,3.35
JP75FtAg9zCXug359pXs4A,12-01-2009,828,20376,739,4.02
kCVPl2RumlSgSDx9PMfXDA,11-03-2008,268,4603,197,3.73
ypMrGNxNqAADrMSHsqhr5Q,20-04-2008,256,2821,277,3.8
7tpZVkiYuMbDP4-NufK2Iw,12-07-2010,1563,745,322,3.66
xkmwzqyy4ZSMsEIejwq41w,11-04-2010,289,740,660,3.92
UOM1TCOUqT2UD19p-yxWLA,08-05-2008,255,34976,2000,3.44
njUgJcn8ZN0BdZdNEswRwA,14-08-2012,302,1149,510,4.28
n7yTMXBsS1qk-qztAcV3Lw,22-09-2014,464,3722,247,3.73
